Order ID,Order Date,Vendor ID,Vendor Name,Employee ID,Location,Item,Bill Amount,Status
O5102,01-10-2024,V3,Food Corner 3,E1002,Hyderabad,Veg,270,Completed
O5146,01-10-2024,V5,Food Corner 5,E1003,Chennai,Veg,215,Canceled
O5194,01-10-2024,V3,Food Corner 3,E1004,Jaipur,Veg,268,Completed
O5239,01-10-2024,V4,Food Corner 4,E1005,Pune,Veg,222,Completed
O5282,01-10-2024,V4,Food Corner 4,E1006,Kolkata,Veg,213,Completed
O5332,01-10-2024,V5,Food Corner 5,E1007,Delhi,Non-Veg,203,Canceled
O5423,01-10-2024,V4,Food Corner 4,E1009,Jaipur,Veg,160,Canceled
O5472,01-10-2024,V5,Food Corner 5,E1010,Jaipur,Non-Veg,295,Completed
O5518,01-10-2024,V1,Food Corner 1,E1011,Kolkata,Veg,283,Completed
O5567,01-10-2024,V4,Food Corner 4,E1012,Jaipur,Non-Veg,219,Canceled
O5798,01-10-2024,V1,Food Corner 1,E1017,Lucknow,Non-Veg,117,Canceled
O5846,01-10-2024,V2,Food Corner 2,E1018,Mumbai,Non-Veg,215,Canceled
O5941,01-10-2024,V3,Food Corner 3,E1020,Kolkata,Veg,249,Completed
O6085,01-10-2024,V2,Food Corner 2,E1023,Kolkata,Veg,232,Canceled
O6132,01-10-2024,V2,Food Corner 2,E1024,Chennai,Veg,118,Completed
O6455,01-10-2024,V5,Food Corner 5,E1031,Mumbai,Veg,229,Completed
O6603,01-10-2024,V2,Food Corner 2,E1034,Hyderabad,Veg,259,Canceled
O6799,01-10-2024,V5,Food Corner 5,E1038,Lucknow,Veg,134,Completed
O6891,01-10-2024,V4,Food Corner 4,E1040,Delhi,Veg,143,Canceled
O7031,01-10-2024,V2,Food Corner 2,E1043,Hyderabad,Non-Veg,224,Completed
O7166,01-10-2024,V2,Food Corner 2,E1046,Delhi,Non-Veg,166,Canceled
O7261,01-10-2024,V4,Food Corner 4,E1048,Ahmedabad,Veg,183,Canceled
O7355,01-10-2024,V5,Food Corner 5,E1050,Hyderabad,Veg,298,Canceled
O7496,01-10-2024,V2,Food Corner 2,E1053,Hyderabad,Non-Veg,203,Completed
O7782,01-10-2024,V3,Food Corner 3,E1059,Jaipur,Veg,117,Completed
O7830,01-10-2024,V3,Food Corner 3,E1060,Hyderabad,Non-Veg,256,Canceled
O7967,01-10-2024,V4,Food Corner 4,E1063,Jaipur,Veg,189,Completed
O8301,01-10-2024,V5,Food Corner 5,E1070,Pune,Veg,260,Canceled
